IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.236.166.131,80,false,SIN,Asia Pacific,Singapore,225 ms,4261 kB/s
47.236.121.23,80,false,SIN,Asia Pacific,Singapore,221 ms,4260 kB/s
47.236.165.25,2086,false,SIN,Asia Pacific,Singapore,263 ms,4257 kB/s
47.236.150.13,2052,false,SIN,Asia Pacific,Singapore,246 ms,4254 kB/s
47.236.93.176,2086,false,SIN,Asia Pacific,Singapore,220 ms,4254 kB/s
47.236.172.71,2095,false,SIN,Asia Pacific,Singapore,225 ms,4252 kB/s
8.219.210.64,80,false,SIN,Asia Pacific,Singapore,220 ms,4252 kB/s
47.236.168.17,8880,false,SIN,Asia Pacific,Singapore,228 ms,4251 kB/s
47.237.100.206,2095,false,SIN,Asia Pacific,Singapore,239 ms,4251 kB/s
8.218.18.132,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,4243 kB/s
47.236.174.206,2086,false,SIN,Asia Pacific,Singapore,272 ms,4234 kB/s
47.237.95.13,8880,false,SIN,Asia Pacific,Singapore,220 ms,4232 kB/s
8.219.104.37,2086,false,SIN,Asia Pacific,Singapore,249 ms,4229 kB/s
47.237.0.31,80,false,SIN,Asia Pacific,Singapore,244 ms,4222 kB/s
8.217.85.14,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,4222 kB/s
47.237.10.1,2052,false,SIN,Asia Pacific,Singapore,227 ms,4215 kB/s
47.236.171.205,2086,false,SIN,Asia Pacific,Singapore,216 ms,4211 kB/s
47.237.100.206,2086,false,SIN,Asia Pacific,Singapore,212 ms,4210 kB/s
8.219.200.145,2086,false,SIN,Asia Pacific,Singapore,237 ms,4210 kB/s
47.236.189.92,80,false,SIN,Asia Pacific,Singapore,230 ms,4207 kB/s
47.76.26.26,80,false,HKG,Asia Pacific,Hong Kong,62 ms,4206 kB/s
47.236.5.223,8880,false,SIN,Asia Pacific,Singapore,217 ms,4191 kB/s
47.237.84.173,8880,false,SIN,Asia Pacific,Singapore,212 ms,4190 kB/s
47.236.165.25,2082,false,SIN,Asia Pacific,Singapore,234 ms,4189 kB/s
47.236.144.196,2095,false,SIN,Asia Pacific,Singapore,220 ms,4188 kB/s
47.237.11.182,8080,false,SIN,Asia Pacific,Singapore,223 ms,4185 kB/s
47.236.168.17,2052,false,SIN,Asia Pacific,Singapore,228 ms,4182 kB/s
8.219.126.240,2052,false,SIN,Asia Pacific,Singapore,301 ms,4170 kB/s
47.237.82.15,8080,false,SIN,Asia Pacific,Singapore,217 ms,4170 kB/s
47.236.169.15,8080,false,SIN,Asia Pacific,Singapore,235 ms,4158 kB/s
47.236.144.196,8880,false,SIN,Asia Pacific,Singapore,230 ms,4158 kB/s
47.236.9.152,8080,false,SIN,Asia Pacific,Singapore,226 ms,4150 kB/s
47.237.125.8,80,false,SIN,Asia Pacific,Singapore,224 ms,4148 kB/s
47.236.170.225,2052,false,SIN,Asia Pacific,Singapore,252 ms,4136 kB/s
47.237.10.1,2086,false,SIN,Asia Pacific,Singapore,218 ms,4136 kB/s
47.236.172.95,2052,false,SIN,Asia Pacific,Singapore,216 ms,4135 kB/s
47.236.169.141,8080,false,SIN,Asia Pacific,Singapore,236 ms,4131 kB/s
47.236.169.15,8880,false,SIN,Asia Pacific,Singapore,222 ms,4124 kB/s
47.236.232.148,80,false,SIN,Asia Pacific,Singapore,227 ms,4112 kB/s
47.236.168.17,2082,false,SIN,Asia Pacific,Singapore,222 ms,4104 kB/s
47.236.180.24,2095,false,SIN,Asia Pacific,Singapore,218 ms,4104 kB/s
47.236.172.95,2086,false,SIN,Asia Pacific,Singapore,221 ms,4100 kB/s
8.219.177.205,2052,false,SIN,Asia Pacific,Singapore,221 ms,4098 kB/s
47.238.131.39,8880,false,HKG,Asia Pacific,Hong Kong,59 ms,4094 kB/s
47.236.202.91,2086,false,SIN,Asia Pacific,Singapore,249 ms,4091 kB/s
47.236.167.231,2082,false,SIN,Asia Pacific,Singapore,219 ms,4089 kB/s
47.236.17.193,8080,false,SIN,Asia Pacific,Singapore,230 ms,4084 kB/s
47.236.172.95,2095,false,SIN,Asia Pacific,Singapore,232 ms,4081 kB/s
47.236.145.85,2082,false,SIN,Asia Pacific,Singapore,225 ms,4074 kB/s
47.236.170.54,2086,false,SIN,Asia Pacific,Singapore,220 ms,4070 kB/s
8.217.85.14,8080,false,HKG,Asia Pacific,Hong Kong,63 ms,4069 kB/s
47.236.75.152,80,false,SIN,Asia Pacific,Singapore,227 ms,4065 kB/s
8.219.111.147,8880,false,SIN,Asia Pacific,Singapore,233 ms,4055 kB/s
47.237.121.38,80,false,SIN,Asia Pacific,Singapore,231 ms,4053 kB/s
47.237.94.140,2082,false,SIN,Asia Pacific,Singapore,235 ms,4053 kB/s
47.237.92.26,8080,false,SIN,Asia Pacific,Singapore,267 ms,4051 kB/s
47.236.164.215,2095,false,SIN,Asia Pacific,Singapore,243 ms,4040 kB/s
8.218.74.119,8080,false,HKG,Asia Pacific,Hong Kong,60 ms,4037 kB/s
8.218.3.198,2052,false,HKG,Asia Pacific,Hong Kong,63 ms,4037 kB/s
8.218.3.12,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,4035 kB/s
47.236.10.100,2052,false,SIN,Asia Pacific,Singapore,221 ms,4029 kB/s
47.236.167.231,8080,false,SIN,Asia Pacific,Singapore,262 ms,4022 kB/s
47.236.165.25,2095,false,SIN,Asia Pacific,Singapore,229 ms,4019 kB/s
47.236.93.176,2095,false,SIN,Asia Pacific,Singapore,225 ms,4014 kB/s
47.236.145.85,8880,false,SIN,Asia Pacific,Singapore,229 ms,3999 kB/s
47.236.87.246,2052,false,SIN,Asia Pacific,Singapore,218 ms,3997 kB/s
47.236.102.102,2082,false,SIN,Asia Pacific,Singapore,220 ms,3997 kB/s
8.210.245.224,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,3987 kB/s
47.236.169.164,8080,false,SIN,Asia Pacific,Singapore,224 ms,3983 kB/s
47.236.169.15,2086,false,SIN,Asia Pacific,Singapore,223 ms,3978 kB/s
47.237.94.140,80,false,SIN,Asia Pacific,Singapore,219 ms,3944 kB/s
47.236.125.62,2086,false,NRT,Asia Pacific,Tokyo,302 ms,3938 kB/s
47.236.102.102,2052,false,SIN,Asia Pacific,Singapore,228 ms,3936 kB/s
8.219.142.191,2095,false,SIN,Asia Pacific,Singapore,230 ms,3936 kB/s
47.236.75.152,2086,false,SIN,Asia Pacific,Singapore,237 ms,3935 kB/s
8.218.228.152,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,3930 kB/s
8.219.177.205,8880,false,SIN,Asia Pacific,Singapore,208 ms,3928 kB/s
47.237.10.1,80,false,SIN,Asia Pacific,Singapore,222 ms,3925 kB/s
47.236.83.239,2052,false,SIN,Asia Pacific,Singapore,234 ms,3921 kB/s
47.236.172.95,80,false,SIN,Asia Pacific,Singapore,221 ms,3899 kB/s
47.236.180.24,2086,false,SIN,Asia Pacific,Singapore,268 ms,3889 kB/s
47.236.202.91,2082,false,SIN,Asia Pacific,Singapore,250 ms,3889 kB/s
47.236.75.152,2082,false,SIN,Asia Pacific,Singapore,224 ms,3875 kB/s
47.236.169.141,80,false,SIN,Asia Pacific,Singapore,220 ms,3868 kB/s
47.236.125.62,8080,false,NRT,Asia Pacific,Tokyo,295 ms,3865 kB/s
47.236.202.91,2052,false,SIN,Asia Pacific,Singapore,282 ms,3856 kB/s
47.236.165.25,80,false,SIN,Asia Pacific,Singapore,225 ms,3853 kB/s
8.218.74.119,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,3848 kB/s
47.237.94.140,2052,false,SIN,Asia Pacific,Singapore,224 ms,3848 kB/s
47.236.9.152,8880,false,SIN,Asia Pacific,Singapore,221 ms,3841 kB/s
47.236.10.100,8880,false,SIN,Asia Pacific,Singapore,215 ms,3838 kB/s
47.236.172.71,2082,false,SIN,Asia Pacific,Singapore,214 ms,3837 kB/s
47.236.75.113,8880,false,SIN,Asia Pacific,Singapore,224 ms,3829 kB/s
47.236.144.156,2052,false,SIN,Asia Pacific,Singapore,229 ms,3826 kB/s
47.236.166.131,2095,false,SIN,Asia Pacific,Singapore,272 ms,3815 kB/s
47.237.8.82,2052,false,SIN,Asia Pacific,Singapore,275 ms,3792 kB/s
47.236.75.113,8080,false,SIN,Asia Pacific,Singapore,231 ms,3782 kB/s
47.236.75.113,2082,false,SIN,Asia Pacific,Singapore,230 ms,3780 kB/s
8.210.245.224,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,3770 kB/s
47.237.14.220,2095,false,SIN,Asia Pacific,Singapore,237 ms,3763 kB/s
47.237.95.140,2052,false,SIN,Asia Pacific,Singapore,221 ms,3762 kB/s
8.219.200.145,8880,false,SIN,Asia Pacific,Singapore,225 ms,3751 kB/s
47.236.232.148,8880,false,SIN,Asia Pacific,Singapore,251 ms,3750 kB/s
8.218.65.237,8880,false,HKG,Asia Pacific,Hong Kong,67 ms,3746 kB/s
8.218.3.198,80,false,HKG,Asia Pacific,Hong Kong,62 ms,3741 kB/s
47.236.145.85,80,false,SIN,Asia Pacific,Singapore,301 ms,3739 kB/s
47.236.125.62,8880,false,NRT,Asia Pacific,Tokyo,318 ms,3737 kB/s
8.219.104.37,80,false,SIN,Asia Pacific,Singapore,224 ms,3730 kB/s
47.236.123.133,80,false,SIN,Asia Pacific,Singapore,223 ms,3726 kB/s
47.237.14.220,80,false,SIN,Asia Pacific,Singapore,229 ms,3723 kB/s
47.236.93.176,8080,false,SIN,Asia Pacific,Singapore,223 ms,3717 kB/s
47.242.17.250,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,3709 kB/s
47.237.94.140,8880,false,SIN,Asia Pacific,Singapore,262 ms,3702 kB/s
47.237.95.13,2052,false,SIN,Asia Pacific,Singapore,264 ms,3685 kB/s
47.236.169.164,2082,false,SIN,Asia Pacific,Singapore,229 ms,3672 kB/s
47.242.119.104,2082,false,HKG,Asia Pacific,Hong Kong,63 ms,3672 kB/s
8.217.127.73,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,3668 kB/s
47.236.80.110,2095,false,SIN,Asia Pacific,Singapore,209 ms,3654 kB/s
47.237.8.82,2095,false,SIN,Asia Pacific,Singapore,221 ms,3649 kB/s
8.219.126.240,2095,false,SIN,Asia Pacific,Singapore,223 ms,3644 kB/s
47.237.11.182,80,false,SIN,Asia Pacific,Singapore,222 ms,3642 kB/s
47.242.17.250,80,false,HKG,Asia Pacific,Hong Kong,59 ms,3636 kB/s
8.218.65.171,80,false,HKG,Asia Pacific,Hong Kong,64 ms,3636 kB/s
8.218.201.73,8880,false,HKG,Asia Pacific,Hong Kong,62 ms,3635 kB/s
47.236.189.92,2082,false,SIN,Asia Pacific,Singapore,216 ms,3629 kB/s
47.76.33.40,2082,false,HKG,Asia Pacific,Hong Kong,75 ms,3624 kB/s
47.237.121.38,2082,false,SIN,Asia Pacific,Singapore,228 ms,3613 kB/s
8.219.111.147,2052,false,SIN,Asia Pacific,Singapore,230 ms,3610 kB/s
47.236.232.148,2082,false,SIN,Asia Pacific,Singapore,234 ms,3602 kB/s
47.236.17.193,2095,false,SIN,Asia Pacific,Singapore,232 ms,3596 kB/s
47.238.40.58,2052,false,HKG,Asia Pacific,Hong Kong,59 ms,3573 kB/s
47.236.205.188,80,false,SIN,Asia Pacific,Singapore,245 ms,3573 kB/s
47.237.95.13,8080,false,SIN,Asia Pacific,Singapore,235 ms,3564 kB/s
8.218.3.12,2086,false,HKG,Asia Pacific,Hong Kong,55 ms,3564 kB/s
47.236.253.41,2082,false,SIN,Asia Pacific,Singapore,218 ms,3537 kB/s
47.237.8.82,8880,false,SIN,Asia Pacific,Singapore,245 ms,3536 kB/s
8.219.104.37,8080,false,SIN,Asia Pacific,Singapore,223 ms,3528 kB/s
47.237.84.173,2095,false,SIN,Asia Pacific,Singapore,225 ms,3522 kB/s
47.236.125.62,2095,false,NRT,Asia Pacific,Tokyo,302 ms,3509 kB/s
47.238.6.58,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,3507 kB/s
47.237.83.20,2095,false,SIN,Asia Pacific,Singapore,218 ms,3504 kB/s
47.236.144.48,2082,false,SIN,Asia Pacific,Singapore,225 ms,3499 kB/s
8.219.111.147,2086,false,SIN,Asia Pacific,Singapore,228 ms,3492 kB/s
47.76.33.40,8080,false,HKG,Asia Pacific,Hong Kong,69 ms,3491 kB/s
8.219.0.162,2086,false,SIN,Asia Pacific,Singapore,234 ms,3488 kB/s
47.236.170.225,2086,false,SIN,Asia Pacific,Singapore,220 ms,3474 kB/s
47.76.178.146,8880,false,HKG,Asia Pacific,Hong Kong,63 ms,3459 kB/s
47.236.174.206,2052,false,SIN,Asia Pacific,Singapore,262 ms,3457 kB/s
47.238.6.58,80,false,HKG,Asia Pacific,Hong Kong,72 ms,3448 kB/s
47.237.86.185,8880,false,SIN,Asia Pacific,Singapore,216 ms,3444 kB/s
47.76.94.15,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,3443 kB/s
47.237.11.182,2095,false,SIN,Asia Pacific,Singapore,215 ms,3442 kB/s
8.217.127.73,2052,false,HKG,Asia Pacific,Hong Kong,67 ms,3414 kB/s
8.219.49.65,2082,false,SIN,Asia Pacific,Singapore,232 ms,3414 kB/s
8.218.181.189,80,false,HKG,Asia Pacific,Hong Kong,57 ms,3413 kB/s
47.236.9.152,2052,false,SIN,Asia Pacific,Singapore,264 ms,3351 kB/s
8.219.142.191,2086,false,SIN,Asia Pacific,Singapore,221 ms,3333 kB/s
47.237.92.26,8880,false,SIN,Asia Pacific,Singapore,219 ms,3330 kB/s
47.236.80.110,2082,false,SIN,Asia Pacific,Singapore,212 ms,3329 kB/s
47.237.84.173,8080,false,SIN,Asia Pacific,Singapore,229 ms,3316 kB/s
47.237.0.31,2052,false,SIN,Asia Pacific,Singapore,225 ms,3296 kB/s
8.218.228.152,2086,false,HKG,Asia Pacific,Hong Kong,62 ms,3288 kB/s
8.210.65.1,2086,false,HKG,Asia Pacific,Hong Kong,59 ms,3283 kB/s
47.236.10.100,2095,false,SIN,Asia Pacific,Singapore,226 ms,3279 kB/s
47.237.125.8,8080,false,SIN,Asia Pacific,Singapore,219 ms,3270 kB/s
47.237.94.140,2095,false,SIN,Asia Pacific,Singapore,226 ms,3260 kB/s
47.236.123.133,2052,false,SIN,Asia Pacific,Singapore,223 ms,3255 kB/s
47.236.144.48,2095,false,SIN,Asia Pacific,Singapore,218 ms,3239 kB/s
47.237.84.173,2052,false,SIN,Asia Pacific,Singapore,262 ms,3238 kB/s
47.237.0.31,8080,false,SIN,Asia Pacific,Singapore,214 ms,3236 kB/s
47.237.83.20,8080,false,SIN,Asia Pacific,Singapore,216 ms,3235 kB/s
8.219.142.191,8880,false,SIN,Asia Pacific,Singapore,224 ms,3231 kB/s
47.236.253.41,8080,false,SIN,Asia Pacific,Singapore,220 ms,3221 kB/s
8.217.85.14,8880,false,HKG,Asia Pacific,Hong Kong,57 ms,3221 kB/s
8.219.49.65,8880,false,SIN,Asia Pacific,Singapore,225 ms,3212 kB/s
47.236.125.62,2052,false,NRT,Asia Pacific,Tokyo,331 ms,3187 kB/s
47.236.125.62,80,false,NRT,Asia Pacific,Tokyo,333 ms,3175 kB/s
47.236.169.15,2095,false,SIN,Asia Pacific,Singapore,222 ms,3168 kB/s
8.219.177.205,2095,false,SIN,Asia Pacific,Singapore,214 ms,3157 kB/s
47.236.97.90,8880,false,SIN,Asia Pacific,Singapore,226 ms,3142 kB/s
8.210.245.224,2095,false,HKG,Asia Pacific,Hong Kong,62 ms,3136 kB/s
8.219.229.190,2086,false,SIN,Asia Pacific,Singapore,273 ms,3128 kB/s
8.219.49.65,80,false,SIN,Asia Pacific,Singapore,221 ms,3123 kB/s
47.236.170.225,8880,false,SIN,Asia Pacific,Singapore,261 ms,3112 kB/s
47.236.189.92,8080,false,SIN,Asia Pacific,Singapore,267 ms,3103 kB/s
8.219.229.190,8880,false,SIN,Asia Pacific,Singapore,229 ms,3091 kB/s
47.236.171.205,2052,false,SIN,Asia Pacific,Singapore,219 ms,3062 kB/s
47.76.29.115,2086,false,HKG,Asia Pacific,Hong Kong,58 ms,3046 kB/s
47.237.84.173,80,false,SIN,Asia Pacific,Singapore,243 ms,3044 kB/s
8.223.2.222,80,false,SIN,Asia Pacific,Singapore,72 ms,3042 kB/s
47.76.192.24,2082,false,HKG,Asia Pacific,Hong Kong,58 ms,3012 kB/s
8.218.65.171,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,3008 kB/s
47.237.84.173,2082,false,SIN,Asia Pacific,Singapore,228 ms,3007 kB/s
47.237.82.15,2086,false,SIN,Asia Pacific,Singapore,232 ms,2995 kB/s
47.236.205.188,8080,false,SIN,Asia Pacific,Singapore,225 ms,2994 kB/s
8.217.66.3,2052,false,HKG,Asia Pacific,Hong Kong,64 ms,2978 kB/s
47.236.170.225,2095,false,SIN,Asia Pacific,Singapore,219 ms,2965 kB/s
47.238.6.58,8880,false,HKG,Asia Pacific,Hong Kong,66 ms,2948 kB/s
47.236.174.206,80,false,SIN,Asia Pacific,Singapore,228 ms,2941 kB/s
47.76.227.128,2095,false,HKG,Asia Pacific,Hong Kong,67 ms,2929 kB/s
8.210.245.224,80,false,HKG,Asia Pacific,Hong Kong,63 ms,2912 kB/s
47.237.81.112,2082,false,SIN,Asia Pacific,Singapore,225 ms,2887 kB/s
47.236.180.24,8880,false,SIN,Asia Pacific,Singapore,232 ms,2881 kB/s
47.236.171.205,2082,false,SIN,Asia Pacific,Singapore,219 ms,2853 kB/s
47.76.33.40,8880,false,HKG,Asia Pacific,Hong Kong,70 ms,2845 kB/s
8.219.229.190,80,false,SIN,Asia Pacific,Singapore,222 ms,2823 kB/s
8.210.65.1,2095,false,HKG,Asia Pacific,Hong Kong,54 ms,2809 kB/s
47.76.26.26,2086,false,HKG,Asia Pacific,Hong Kong,61 ms,2795 kB/s
47.237.95.146,8880,false,SIN,Asia Pacific,Singapore,226 ms,2759 kB/s
47.238.6.58,2086,false,HKG,Asia Pacific,Hong Kong,67 ms,2757 kB/s
8.219.177.205,80,false,SIN,Asia Pacific,Singapore,214 ms,2733 kB/s
47.236.165.25,8880,false,SIN,Asia Pacific,Singapore,219 ms,2709 kB/s
8.217.85.14,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,2686 kB/s
47.237.83.20,2082,false,SIN,Asia Pacific,Singapore,241 ms,2671 kB/s
8.218.74.119,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,2666 kB/s
47.76.227.128,80,false,HKG,Asia Pacific,Hong Kong,59 ms,2655 kB/s
47.238.40.58,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,2655 kB/s
47.237.11.182,2082,false,SIN,Asia Pacific,Singapore,235 ms,2611 kB/s
8.218.143.10,2082,false,HKG,Asia Pacific,Hong Kong,65 ms,2608 kB/s
47.237.11.182,2052,false,SIN,Asia Pacific,Singapore,220 ms,2598 kB/s
8.218.74.119,2086,false,HKG,Asia Pacific,Hong Kong,60 ms,2575 kB/s
47.237.83.20,8880,false,SIN,Asia Pacific,Singapore,230 ms,2560 kB/s
8.218.11.90,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,2553 kB/s
8.223.3.253,80,false,SIN,Asia Pacific,Singapore,65 ms,2532 kB/s
47.76.227.128,2086,false,HKG,Asia Pacific,Hong Kong,68 ms,2531 kB/s
47.238.6.102,2095,false,HKG,Asia Pacific,Hong Kong,57 ms,2522 kB/s
47.243.169.63,2095,false,HKG,Asia Pacific,Hong Kong,59 ms,2495 kB/s
47.236.171.205,2095,false,SIN,Asia Pacific,Singapore,225 ms,2494 kB/s
8.219.49.65,2086,false,SIN,Asia Pacific,Singapore,225 ms,2485 kB/s
8.210.65.1,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,2456 kB/s
8.218.18.132,2086,false,HKG,Asia Pacific,Hong Kong,65 ms,2422 kB/s
47.76.77.103,8080,false,HKG,Asia Pacific,Hong Kong,58 ms,2385 kB/s
8.212.41.98,8080,false,SJC,North America,San Jose,74 ms,2305 kB/s
8.218.74.119,80,false,HKG,Asia Pacific,Hong Kong,62 ms,2270 kB/s
47.238.6.58,8080,false,HKG,Asia Pacific,Hong Kong,73 ms,2252 kB/s
47.236.202.91,2095,false,SIN,Asia Pacific,Singapore,264 ms,2251 kB/s
8.212.41.98,80,false,SIN,Asia Pacific,Singapore,77 ms,2250 kB/s
47.237.100.206,2082,false,SIN,Asia Pacific,Singapore,215 ms,2234 kB/s
47.242.17.250,8880,false,HKG,Asia Pacific,Hong Kong,64 ms,2230 kB/s
47.236.180.51,2052,false,SIN,Asia Pacific,Singapore,224 ms,2194 kB/s
47.238.40.58,2095,false,HKG,Asia Pacific,Hong Kong,58 ms,2164 kB/s
47.76.192.24,8080,false,HKG,Asia Pacific,Hong Kong,64 ms,2150 kB/s
47.76.33.40,2052,false,HKG,Asia Pacific,Hong Kong,71 ms,2127 kB/s
8.218.11.90,8080,false,HKG,Asia Pacific,Hong Kong,60 ms,2097 kB/s
47.236.202.91,80,false,SIN,Asia Pacific,Singapore,231 ms,2087 kB/s
8.218.201.73,80,false,HKG,Asia Pacific,Hong Kong,63 ms,2081 kB/s
8.210.156.6,80,false,HKG,Asia Pacific,Hong Kong,67 ms,2051 kB/s
8.210.34.188,2052,false,HKG,Asia Pacific,Hong Kong,61 ms,2051 kB/s
8.218.143.10,2052,false,HKG,Asia Pacific,Hong Kong,58 ms,2034 kB/s
47.76.214.139,2082,false,HKG,Asia Pacific,Hong Kong,60 ms,2020 kB/s
8.219.104.37,8880,false,SIN,Asia Pacific,Singapore,232 ms,2008 kB/s
47.90.141.204,80,false,LAX,North America,Los Angeles,262 ms,1970 kB/s
