IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.237.86.185,2082,false,SIN,Asia Pacific,Singapore,219 ms,6522 kB/s
47.236.104.11,8080,false,SIN,Asia Pacific,Singapore,224 ms,6497 kB/s
47.237.95.140,8880,false,SIN,Asia Pacific,Singapore,224 ms,6459 kB/s
8.219.86.200,2086,false,SIN,Asia Pacific,Singapore,252 ms,6456 kB/s
8.222.136.247,2086,false,SIN,Asia Pacific,Singapore,236 ms,6432 kB/s
8.217.127.73,2095,false,HKG,Asia Pacific,Hong Kong,60 ms,6421 kB/s
8.218.52.115,2095,false,HKG,Asia Pacific,Hong Kong,65 ms,6397 kB/s
47.238.6.102,2082,false,HKG,Asia Pacific,Hong Kong,64 ms,6349 kB/s
8.219.142.191,2052,false,SIN,Asia Pacific,Singapore,224 ms,6345 kB/s
8.219.189.143,2052,false,SIN,Asia Pacific,Singapore,220 ms,6331 kB/s
8.219.142.191,2082,false,SIN,Asia Pacific,Singapore,228 ms,6306 kB/s
47.236.205.188,2095,false,SIN,Asia Pacific,Singapore,227 ms,6302 kB/s
47.236.104.11,2052,false,SIN,Asia Pacific,Singapore,276 ms,6282 kB/s
47.238.131.39,2082,false,HKG,Asia Pacific,Hong Kong,62 ms,6275 kB/s
47.237.95.146,2082,false,SIN,Asia Pacific,Singapore,226 ms,6271 kB/s
47.236.149.107,2086,false,SIN,Asia Pacific,Singapore,250 ms,6254 kB/s
47.237.95.146,80,false,SIN,Asia Pacific,Singapore,218 ms,6245 kB/s
47.236.123.133,2082,false,SIN,Asia Pacific,Singapore,226 ms,6241 kB/s
47.236.121.23,8880,false,SIN,Asia Pacific,Singapore,226 ms,6211 kB/s
